"Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",258.324009901708,4.98228188124101,51.848533675771,2.89375939619756e-93
"day.of.weekMonday",14.9480191200744,5.69909623094497,2.62287536730993,0.00968495247515691
"day.of.weekSaturday",-15.219590649304,5.69480517193322,-2.67253930376997,0.00842180918665513
"day.of.weekSunday",-5.1883445162892,5.69909623094497,-0.91038022627474,0.364186766381662
"day.of.weekThursday",-1.52380952380953,5.75893638609744,-0.264599124152184,0.791707442326644
"day.of.weekTuesday",9.80678793921868,5.69913960227027,1.72074885396949,0.0875056760628248
"day.of.weekWednesday",3.35171093515202,5.7634482497888,0.581546114389913,0.561807628616111
"month.fyearFeb-16/17",-2.63469180242821,4.86820888939375,-0.541203523161948,0.589227458007468
"month.fyearJan-16/17",6.31258507367363,4.75055026947887,1.32881134091569,0.186071934127854
"month.fyearNov-16/17",-4.38592963819255,4.78815790618674,-0.915995195673377,0.361244528553015
"month.fyearOct-16/17",-5.49301561701918,4.74706079756433,-1.15714035510933,0.249185520885363
