StartDate,StartdateFiscalPeriodLong,StartDateFiscalYear,num visits
2017-01-05,2017-11,16/17,267
2017-01-06,2017-11,16/17,261
2017-01-07,2017-11,16/17,277
2017-01-08,2017-11,16/17,266
2017-01-09,2017-11,16/17,298
2017-01-10,2017-11,16/17,264
2017-01-11,2017-11,16/17,265
2017-01-12,2017-11,16/17,246
2017-01-13,2017-11,16/17,248
2017-01-14,2017-11,16/17,243
2017-01-15,2017-11,16/17,247
2017-01-16,2017-11,16/17,290
2017-01-17,2017-11,16/17,252
2017-01-18,2017-11,16/17,281
2017-01-19,2017-11,16/17,262
2017-01-20,2017-11,16/17,261
2017-01-21,2017-11,16/17,250
2017-01-22,2017-11,16/17,262
2017-01-23,2017-11,16/17,277
2017-01-24,2017-11,16/17,276
2017-01-25,2017-11,16/17,238
2017-01-26,2017-11,16/17,228
2017-01-27,2017-12,16/17,243
2017-01-28,2017-12,16/17,263
2017-01-29,2017-12,16/17,260
2017-01-30,2017-12,16/17,275
2017-01-31,2017-12,16/17,252
2017-02-01,2017-12,16/17,260
2017-02-02,2017-12,16/17,255
2017-02-03,2017-12,16/17,225
2017-02-04,2017-12,16/17,227
2017-02-05,2017-12,16/17,229
2017-02-06,2017-12,16/17,279
2017-02-07,2017-12,16/17,252
2017-02-08,2017-12,16/17,244
2017-02-09,2017-12,16/17,261
2017-02-10,2017-12,16/17,248
2017-02-11,2017-12,16/17,246
2017-02-12,2017-12,16/17,283
2017-02-13,2017-12,16/17,262
2017-02-14,2017-12,16/17,273
2017-02-15,2017-12,16/17,258
2017-02-16,2017-12,16/17,267
2017-02-17,2017-12,16/17,283
2017-02-18,2017-12,16/17,275
2017-02-19,2017-12,16/17,261
2017-02-20,2017-12,16/17,286
2017-02-21,2017-12,16/17,262
2017-02-22,2017-12,16/17,244
2017-02-23,2017-12,16/17,229
2017-02-24,2017-13,16/17,253
2017-02-25,2017-13,16/17,240
2017-02-26,2017-13,16/17,257
2017-02-27,2017-13,16/17,256
2017-02-28,2017-13,16/17,269
2017-03-01,2017-13,16/17,266
2017-03-02,2017-13,16/17,280
2017-03-03,2017-13,16/17,278
2017-03-04,2017-13,16/17,264
2017-03-05,2017-13,16/17,258
2017-03-06,2017-13,16/17,281
2017-03-07,2017-13,16/17,248
2017-03-08,2017-13,16/17,275
2017-03-09,2017-13,16/17,267
2017-03-10,2017-13,16/17,261
2017-03-11,2017-13,16/17,253
2017-03-12,2017-13,16/17,259
2017-03-13,2017-13,16/17,286
2017-03-14,2017-13,16/17,280
2017-03-15,2017-13,16/17,255
2017-03-16,2017-13,16/17,264
2017-03-17,2017-13,16/17,272
2017-03-18,2017-13,16/17,267
2017-03-19,2017-13,16/17,279
2017-03-20,2017-13,16/17,281
2017-03-21,2017-13,16/17,278
2017-03-22,2017-13,16/17,266
2017-03-23,2017-13,16/17,261
2017-03-24,2017-13,16/17,276
2017-03-25,2017-13,16/17,264
2017-03-26,2017-13,16/17,228
2017-03-27,2017-13,16/17,311
2017-03-28,2017-13,16/17,269
2017-03-29,2017-13,16/17,273
2017-03-30,2017-13,16/17,263
2017-03-31,2017-13,16/17,258
